Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,30.9375,31.0,29.5,29.5,13.854166984558105,1615200
2000-01-04,29.5625,30.0,29.5625,29.875,14.030280113220215,456400
2000-01-05,29.8125,31.0,29.6875,30.6875,14.41186237335205,1842300
2000-01-06,30.6875,31.125,30.125,30.4375,14.294447898864746,366500
2000-01-07,30.875,31.25,30.625,31.125,14.617321968078613,531300
2000-01-10,30.9375,31.3125,30.4375,30.6875,14.41186237335205,257800
2000-01-11,30.5625,31.5625,30.5625,31.5,14.793429374694824,1471100
2000-01-12,31.3125,31.5,31.0625,31.3125,14.705376625061035,1518200
2000-01-13,31.5625,32.0,31.3125,31.625,14.852133750915527,492700
2000-01-14,31.625,31.625,30.875,31.1875,14.646675109863281,276700
2000-01-18,31.0,31.0,30.4375,30.5625,14.353154182434082,418900
2000-01-19,30.625,31.125,30.5,30.875,14.499909400939941,512300
2000-01-20,30.9375,31.125,30.3125,30.9375,14.529261589050293,391500
2000-01-21,31.0,31.625,30.625,31.375,14.734729766845703,567300
2000-01-24,31.5,32.0625,31.25,31.25,14.676015853881836,657300
2000-01-25,31.3125,31.3125,30.5,30.6875,14.41186237335205,714500
2000-01-26,30.875,30.875,30.0,30.4375,14.294447898864746,1105700
2000-01-27,30.6875,30.6875,29.9375,30.0,14.088984489440918,572300
2000-01-28,29.75,30.25,29.4375,29.5,13.854166984558105,514300
2000-01-31,29.75,30.375,29.3125,30.0,14.088984489440918,982200
2000-02-01,26.125,26.625,22.75,23.5,11.036368370056152,4026100
2000-02-02,23.0,23.0,20.3125,21.375,10.03840446472168,6256700
2000-02-03,21.1875,22.3125,21.0625,21.9375,10.302567481994629,5044000
2000-02-04,21.875,22.0,20.125,20.375,9.730667114257812,3314200
2000-02-07,20.375,20.5625,20.0625,20.3125,9.700821876525879,698100
2000-02-08,20.375,20.6875,20.25,20.3125,9.700821876525879,807100
2000-02-09,20.3125,20.375,19.8125,19.9375,9.52173137664795,1282000
2000-02-10,19.9375,19.9375,18.0625,18.75,8.954602241516113,2792300
2000-02-11,18.8125,18.8125,18.0625,18.625,8.894906044006348,1121200
2000-02-14,18.75,19.375,18.625,19.1875,9.16353988647461,714400
2000-02-15,19.5,19.75,19.25,19.375,9.253087043762207,746200
2000-02-16,19.125,19.3125,18.5,18.6875,8.924751281738281,920000
2000-02-17,18.6875,18.6875,18.0,18.375,8.775508880615234,1281500
2000-02-18,18.3125,18.5,17.9375,18.3125,8.745661735534668,907200
2000-02-22,18.3125,18.375,17.9375,18.25,8.715811729431152,685400
2000-02-23,18.4375,18.4375,17.5,17.5625,8.38747501373291,1077400
2000-02-24,17.6875,17.6875,16.875,17.0,8.118839263916016,697500
2000-02-25,17.0,17.0,16.1875,16.4375,7.850203037261963,757300
2000-02-28,16.6875,16.6875,16.0625,16.5,7.880046844482422,816200
2000-02-29,16.625,16.9375,16.5625,16.75,7.999444484710693,914200
