Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,18.8125,18.875,18.625,18.8125,6.811065673828125,110000
2000-01-04,18.75,18.8125,18.625,18.75,6.788437843322754,176500
2000-01-05,18.75,18.875,18.625,18.6875,6.765811920166016,135400
2000-01-06,18.75,19.25,18.625,19.25,6.969463348388672,186800
2000-01-07,19.25,20.375,19.1875,20.25,7.331518173217773,190200
2000-01-10,20.3125,20.5,20.0625,20.375,7.376768112182617,64400
2000-01-11,20.25,20.25,19.5,19.625,7.105235576629639,56900
2000-01-12,19.75,20.25,19.75,20.0,7.241002082824707,96100
2000-01-13,19.875,20.0625,19.625,19.9375,7.218372344970703,164200
2000-01-14,20.0,20.0625,19.75,19.75,7.150485515594482,53400
2000-01-18,20.0,20.0625,19.8125,20.0,7.241002082824707,64000
2000-01-19,19.875,20.125,19.75,20.125,7.286255836486816,154100
2000-01-20,20.1875,20.25,20.125,20.1875,7.3088836669921875,51900
2000-01-21,20.1875,20.1875,20.0625,20.1875,7.3088836669921875,29200
2000-01-24,20.125,20.1875,20.0,20.0,7.241002082824707,52600
2000-01-25,20.0,20.125,19.875,20.0,7.241002082824707,66700
2000-01-26,20.0625,20.0625,20.0,20.0,7.241002082824707,34200
2000-01-27,20.0625,20.125,20.0,20.0625,7.263626575469971,61000
2000-01-28,20.0,20.0625,20.0,20.0625,7.263626575469971,33400
2000-01-31,19.9375,20.0625,19.9375,19.9375,7.218372344970703,57100
2000-02-01,20.0625,20.0625,19.875,20.0625,7.263626575469971,49100
2000-02-02,20.0625,20.0625,19.625,19.6875,7.1278605461120605,171500
2000-02-03,19.75,19.8125,19.6875,19.75,7.150485515594482,34500
2000-02-04,19.625,19.6875,19.4375,19.4375,7.037347316741943,73000
2000-02-07,19.375,19.5,19.1875,19.1875,6.946834087371826,99200
2000-02-08,19.1875,19.25,19.0,19.125,6.9242072105407715,73500
2000-02-09,19.1875,19.25,18.875,19.125,6.9242072105407715,70600
2000-02-10,19.0,19.375,18.9375,19.3125,6.992093563079834,33400
2000-02-11,19.1875,19.25,18.75,18.75,6.788437843322754,77400
2000-02-14,18.75,18.75,17.75,18.0,6.516901969909668,143600
2000-02-15,18.0,18.25,17.875,18.0,6.516901969909668,249000
2000-02-16,18.0,18.125,17.875,17.875,6.471643447875977,97100
2000-02-17,17.9375,18.0625,17.9375,18.0625,6.539527416229248,70100
2000-02-18,18.0625,18.375,18.0625,18.1875,6.584786891937256,113000
2000-02-22,18.125,18.5,18.0625,18.5,6.697926044464111,83500
2000-02-23,18.375,18.6875,18.125,18.625,6.7431840896606445,85000
2000-02-24,18.5,18.5,18.0625,18.25,6.607412338256836,49900
2000-02-25,18.25,18.5,18.25,18.375,6.6526689529418945,37200
2000-02-28,18.375,18.75,18.375,18.625,6.7431840896606445,57300
2000-02-29,18.75,19.25,18.625,19.25,6.969463348388672,114200
2000-03-01,19.1875,19.25,18.9375,19.125,6.9242072105407715,109400
2000-03-02,19.0625,19.0625,19.0,19.0,6.878948211669922,39600
2000-03-03,19.25,19.25,18.9375,19.0625,6.901578426361084,135200
2000-03-06,19.0,19.1875,18.8125,19.1875,6.946834087371826,184300
2000-03-07,19.1875,19.25,18.75,18.75,6.788437843322754,128000
2000-03-08,18.875,19.0,18.875,19.0,6.878948211669922,58400
2000-03-09,18.9375,19.0,18.75,18.875,6.833693981170654,31800
2000-03-10,18.8125,18.9375,18.6875,18.75,6.788437843322754,42500
2000-03-13,18.75,18.875,18.6875,18.75,6.788437843322754,17600
2000-03-14,18.75,19.0,18.75,18.875,6.833693981170654,49800
2000-03-15,18.9375,18.9375,18.625,18.75,6.788437843322754,285500
2000-03-16,18.875,19.0,18.875,19.0,6.878948211669922,68400
