Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,23.0,23.625,22.1875,23.4375,19.349536895751953,1810300
2000-01-04,23.125,23.125,21.75,21.9375,18.111160278320312,1153400
2000-01-05,22.0625,22.375,21.5,22.1875,18.317556381225586,1309500
2000-01-06,22.125,24.25,22.0625,23.75,19.607526779174805,2030600
2000-01-07,23.9375,24.25,23.25,23.5,19.401138305664062,1195700
2000-01-10,25.5,25.875,24.0,24.0,19.813919067382812,2476300
2000-01-11,25.25,28.0625,25.0,27.0,22.290666580200195,5369300
2000-01-12,27.4375,27.4375,25.5,25.9375,21.413494110107422,2052200
2000-01-13,26.0,26.6875,25.625,26.375,21.77468490600586,1131500
2000-01-14,27.0,27.0,26.0625,26.375,21.77468490600586,1055400
2000-01-18,26.3125,27.0,25.9375,26.8125,22.135868072509766,1328700
2000-01-19,26.625,26.875,26.0,26.1875,21.61988067626953,889100
2000-01-20,26.0625,26.125,25.25,25.25,20.845901489257812,1538800
2000-01-21,25.9375,25.9375,25.0,25.125,20.742706298828125,1622000
2000-01-24,25.125,25.375,24.8125,24.875,20.53630256652832,799200
2000-01-25,22.0,22.75,21.25,22.0,18.16276741027832,4931900
2000-01-26,21.9375,22.0,21.375,21.6875,17.90477180480957,1739800
2000-01-27,21.875,21.9375,20.125,20.875,17.23398780822754,3096400
2000-01-28,20.9375,20.9375,20.125,20.125,16.61479949951172,1084000
2000-01-31,20.0625,20.9375,20.0,20.5625,16.97599220275879,952200
2000-02-01,20.875,21.0625,20.5,20.875,17.23398780822754,1244000
2000-02-02,20.875,21.1875,20.3125,20.375,16.821195602416992,1533300
2000-02-03,20.75,20.9375,20.375,20.5625,16.97599220275879,1375500
2000-02-04,20.5,20.875,20.375,20.5,16.92438507080078,550300
2000-02-07,20.5,20.6875,20.25,20.3125,16.769603729248047,574200
2000-02-08,20.6875,21.1875,20.375,20.375,16.821195602416992,973700
2000-02-09,20.4375,20.5625,20.25,20.375,16.821195602416992,918900
2000-02-10,20.5,20.5,18.9375,19.125,15.78921890258789,2522800
2000-02-11,19.4375,19.4375,18.8125,18.875,15.582826614379883,3993600
2000-02-14,18.6875,19.1875,18.625,18.9375,15.634425163269043,622200
2000-02-15,18.875,18.9375,18.3125,18.625,15.376420021057129,1196700
2000-02-16,19.0625,20.1875,19.0,20.0,16.511608123779297,1167600
2000-02-17,20.0,20.5,19.625,20.0,16.511608123779297,1381000
2000-02-18,20.25,20.4375,19.75,19.9375,16.46001625061035,985800
2000-02-22,19.6875,19.875,19.125,19.75,16.305204391479492,762000
2000-02-23,19.625,19.75,19.125,19.125,15.78921890258789,840300
2000-02-24,19.125,19.625,18.625,19.5,16.09882354736328,1044700
2000-02-25,19.4375,19.5,19.0625,19.3125,15.94401741027832,846300
2000-02-28,19.0,19.5,18.75,19.3125,15.993704795837402,881000
2000-02-29,19.5,19.6875,19.1875,19.375,16.04546546936035,1212200
2000-03-01,19.375,19.6875,19.0625,19.5,16.14899444580078,697900
2000-03-02,19.125,19.375,18.6875,18.9375,15.683149337768555,775500
2000-03-03,19.0,19.6875,18.75,19.25,15.941941261291504,1147600
2000-03-06,19.625,19.6875,19.25,19.375,16.04546546936035,511600
2000-03-07,19.125,19.3125,18.5,18.5625,15.372589111328125,793900
2000-03-08,18.5,18.8125,18.375,18.5,15.320832252502441,619300
2000-03-09,18.5,19.3125,18.25,19.0625,15.78666877746582,1004900
2000-03-10,19.3125,19.5,18.5,18.625,15.424345970153809,787300
2000-03-13,18.375,18.875,18.25,18.875,15.631391525268555,888300
2000-03-14,18.875,18.875,18.25,18.25,15.11379623413086,1026600
2000-03-15,18.25,19.375,18.1875,19.125,15.838422775268555,1523300
2000-03-16,19.375,19.875,19.125,19.75,16.356016159057617,1730400
2000-03-17,19.75,19.75,19.0,19.125,15.838422775268555,1296200
2000-03-20,19.125,19.5,19.0625,19.25,15.941941261291504,1082800
2000-03-21,19.25,19.375,19.0,19.1875,15.89018726348877,1157900
2000-03-22,19.0625,19.5,19.0625,19.0625,15.78666877746582,1300000
2000-03-23,18.9375,19.25,18.8125,19.1875,15.89018726348877,1109700
2000-03-24,19.1875,19.625,19.0625,19.5,16.14899444580078,1094000
2000-03-27,19.875,19.9375,19.5,19.75,16.356016159057617,846000
2000-03-28,19.5625,21.625,19.5625,21.5,17.805280685424805,4048500
2000-03-29,21.3125,21.9375,21.0,21.6875,17.960575103759766,2552000
2000-03-30,21.5,21.625,20.5,20.5625,17.028894424438477,1088600
2000-03-31,20.75,21.25,20.25,21.0,17.391210556030273,1062500
2000-04-03,21.0,21.625,20.75,21.125,17.494733810424805,922600
2000-04-04,21.1875,21.25,19.5,20.5,16.977134704589844,1644300
2000-04-05,20.25,20.8125,20.25,20.4375,16.925378799438477,643300
2000-04-06,20.5,20.875,20.0625,20.375,16.873626708984375,647700
2000-04-07,20.25,20.5,20.125,20.1875,16.718345642089844,455200
2000-04-10,20.0,21.5625,19.8125,21.4375,17.753530502319336,1705700
2000-04-11,21.25,21.9375,20.125,20.75,17.184181213378906,1165600
2000-04-12,20.875,21.625,20.75,21.25,17.598257064819336,1325000
2000-04-13,21.0,21.0625,20.375,20.4375,16.925378799438477,802300
2000-04-14,20.125,20.375,19.3125,19.8125,16.407785415649414,1554700
2000-04-17,18.875,19.4375,18.75,18.8125,15.579630851745605,1636000
2000-04-18,19.0,19.75,18.8125,19.25,15.941941261291504,1093400
2000-04-19,19.25,19.5625,18.875,19.0,15.734905242919922,964700
2000-04-20,19.0,19.125,18.625,18.875,15.631391525268555,983200
2000-04-24,18.75,19.0,18.1875,18.4375,15.26906967163086,938800
2000-04-25,18.375,19.0625,17.9375,18.9375,15.683149337768555,1618500
2000-04-26,18.0,18.3125,16.6875,17.0,14.078597068786621,4056400
2000-04-27,16.75,17.3125,16.5,16.9375,14.02684497833252,2694600
2000-04-28,17.0,17.0625,16.6875,16.9375,14.02684497833252,1233500
2000-05-01,17.375,18.4375,17.0625,18.25,15.11379623413086,2326300
2000-05-02,17.875,18.4375,17.8125,17.9375,14.854999542236328,1486100
2000-05-03,17.8125,18.625,17.625,18.375,15.217313766479492,2119500
2000-05-04,18.5,18.5625,18.25,18.4375,15.26906967163086,923200
2000-05-05,18.5,18.5625,18.0625,18.125,15.01027774810791,781400
2000-05-08,18.25,18.375,18.0,18.125,15.01027774810791,431000
2000-05-09,18.1875,18.25,18.0,18.0,14.906755447387695,666000
2000-05-10,17.9375,17.9375,17.3125,17.3125,14.337394714355469,1193000
2000-05-11,17.5,17.8125,17.375,17.5,14.49267864227295,727600
2000-05-12,17.5,17.6875,17.1875,17.25,14.28564167022705,673300
2000-05-15,17.5,17.5625,17.0625,17.25,14.28564167022705,778000
2000-05-16,17.5,17.5625,16.9375,17.0,14.078597068786621,1208100
