Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,26.75,27.4375,26.75,26.875,14.386808395385742,536000
2000-01-04,27.125,27.25,26.0,26.5625,14.219522476196289,258900
2000-01-05,26.5,26.625,25.25,25.5625,13.684203147888184,189400
2000-01-06,25.5625,25.875,25.25,25.625,13.71765422821045,213300
2000-01-07,25.75,26.3125,25.0625,26.25,14.05224609375,796400
2000-01-10,26.5,26.5,25.6875,25.75,13.78457260131836,297300
2000-01-11,26.0625,26.5,25.8125,26.125,13.985320091247559,230500
2000-01-12,26.25,27.0625,26.25,26.9375,14.420272827148438,604700
2000-01-13,26.9375,27.3125,26.5625,27.25,14.587555885314941,220200
2000-01-14,27.375,27.5,27.0625,27.125,14.520644187927246,502200
2000-01-18,27.25,27.625,27.125,27.5,14.721385955810547,336000
2000-01-19,27.6875,27.6875,27.375,27.375,14.654470443725586,371400
2000-01-20,27.5,27.5625,27.125,27.1875,14.554100036621094,212000
2000-01-21,27.25,27.3125,26.4375,26.6875,14.286436080932617,361200
2000-01-24,26.8125,26.9375,26.3125,26.3125,14.085692405700684,201000
2000-01-25,26.25,26.3125,25.5,25.75,13.78457260131836,286300
2000-01-26,25.75,25.875,25.0625,25.625,13.71765422821045,241800
2000-01-27,25.8125,26.5625,25.8125,26.5,14.186066627502441,265100
2000-01-28,26.5,26.75,26.375,26.375,14.119147300720215,405700
2000-01-31,26.5625,27.0,26.4375,26.875,14.386808395385742,316100
2000-02-01,27.125,27.3125,26.1875,26.4375,14.152613639831543,362200
2000-02-02,26.4375,26.75,26.4375,26.625,14.252974510192871,214100
2000-02-03,26.75,27.4375,26.75,27.1875,14.554100036621094,298800
2000-02-04,27.375,27.375,26.875,26.9375,14.420272827148438,355900
2000-02-07,27.0,27.0,26.25,26.375,14.119147300720215,165900
2000-02-08,26.5,26.75,25.6875,25.8125,13.818037986755371,245000
2000-02-09,25.8125,25.8125,24.75,24.875,13.316166877746582,337200
2000-02-10,24.875,24.875,24.0,24.3125,13.01505184173584,284400
2000-02-11,24.4375,24.625,23.75,23.875,12.780837059020996,200800
2000-02-14,24.0,24.3125,23.75,23.75,12.713927268981934,185100
2000-02-15,23.9375,24.25,23.3125,24.25,12.981592178344727,373300
2000-02-16,23.9375,24.0,23.4375,23.6875,12.801887512207031,129300
2000-02-17,23.5625,23.6875,23.125,23.6875,12.801887512207031,136600
2000-02-18,23.4375,23.5,22.1875,22.5625,12.19388198852539,306300
2000-02-22,22.75,23.0,22.375,22.9375,12.39655590057373,160700
2000-02-23,23.0,23.375,22.5,22.5,12.160099983215332,131700
2000-02-24,22.6875,22.6875,22.0625,22.125,11.957435607910156,143400
2000-02-25,22.3125,22.5,22.125,22.3125,12.058775901794434,482900
2000-02-28,22.625,22.625,22.1875,22.4375,12.126328468322754,179200
2000-02-29,22.1875,22.625,21.8125,21.8125,11.788538932800293,349400
2000-03-01,22.1875,22.625,22.125,22.3125,12.058775901794434,190700
2000-03-02,22.3125,22.9375,22.125,22.375,12.092543601989746,165100
2000-03-03,23.25,23.8125,22.875,22.9375,12.39655590057373,358200
2000-03-06,23.0625,23.25,22.375,22.5,12.160099983215332,187000
2000-03-07,22.25,22.25,21.0625,21.25,11.48454475402832,229400
2000-03-08,21.125,22.125,20.875,22.125,11.957435607910156,274200
2000-03-09,22.625,23.3125,22.125,23.3125,12.599215507507324,479700
2000-03-10,23.5625,24.75,23.3125,24.3125,13.139676094055176,669100
2000-03-13,23.9375,24.4375,23.3125,24.0625,13.004551887512207,390000
2000-03-14,24.0625,24.8125,23.3125,23.375,12.632997512817383,317400
2000-03-15,23.5625,24.5625,23.5625,24.5,13.241003036499023,230800
2000-03-16,24.6875,26.25,24.6875,26.25,14.18680191040039,298400
2000-03-17,26.4375,26.8125,25.9375,25.9375,14.017898559570312,340400
2000-03-20,25.75,27.125,25.6875,26.6875,14.42323112487793,285500
2000-03-21,26.4375,26.5,25.375,25.8125,13.950350761413574,253500
2000-03-22,25.9375,26.125,25.5625,25.6875,13.882790565490723,262500
2000-03-23,25.75,26.25,25.3125,26.125,14.119234085083008,449300
2000-03-24,25.75,26.125,25.125,26.0625,14.085453987121582,231700
