Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,27.125,27.1875,25.625,25.8125,10.591495513916016,571300
2000-01-04,25.8125,25.875,24.75,25.0625,10.283754348754885,766700
2000-01-05,25.125,25.6875,24.9375,25.375,10.411979675292969,620200
2000-01-06,25.4375,26.6875,25.3125,26.5625,10.89923858642578,691500
2000-01-07,27.25,27.25,26.4375,26.75,10.976178169250488,579500
2000-01-10,26.875,27.0,25.6875,26.0625,10.694077491760254,477600
2000-01-11,25.8125,25.9375,25.25,25.375,10.411979675292969,319700
2000-01-12,25.5,26.375,25.4375,26.0,10.75318431854248,515300
2000-01-13,26.5625,28.625,26.5625,28.125,11.632052421569824,1989500
2000-01-14,28.25,29.25,28.25,29.1875,12.07148551940918,1026700
2000-01-18,29.0,29.0,27.6875,27.875,11.528653144836426,1078700
2000-01-19,28.375,28.5,27.3125,27.5,11.373559951782228,573600
2000-01-20,27.5,27.625,26.375,26.5,10.95997714996338,431300
2000-01-21,27.1875,27.1875,26.4375,26.75,11.063374519348145,502800
2000-01-24,26.75,26.75,25.75,26.0,10.75318431854248,407500
2000-01-25,25.875,26.4375,25.625,26.0,10.75318431854248,456600
2000-01-26,26.0625,27.625,25.9375,27.625,11.42525577545166,695100
2000-01-27,28.5,28.6875,27.625,28.0,11.58034896850586,667200
2000-01-28,27.75,27.75,26.875,27.625,11.42525577545166,684300
2000-01-31,27.375,28.125,27.0,28.125,11.632052421569824,831700
2000-02-01,28.125,28.75,27.625,28.5,11.78714084625244,635100
2000-02-02,29.125,29.125,28.0,28.1875,11.657896995544434,614000
2000-02-03,28.125,28.625,27.8125,28.5,11.78714084625244,819600
2000-02-04,28.4375,28.4375,27.375,27.5,11.373559951782228,394100
2000-02-07,25.0625,26.25,25.0625,26.25,10.856581687927246,2087800
2000-02-08,26.1875,26.375,25.9375,26.0625,10.779035568237305,970000
2000-02-09,26.1875,26.1875,25.6875,25.9375,10.727333068847656,1075600
2000-02-10,25.75,25.9375,25.0,25.25,10.442997932434082,376800
2000-02-11,25.25,25.875,25.0,25.375,10.494694709777832,603600
2000-02-14,25.4375,25.5,24.6875,25.0,10.339603424072266,680400
2000-02-15,25.0,25.875,24.8125,25.75,10.649791717529297,779500
2000-02-16,25.625,25.75,24.9375,25.0,10.339603424072266,491500
2000-02-17,25.0,25.125,23.6875,24.0625,9.951866149902344,642800
2000-02-18,24.125,24.25,23.375,23.5625,9.745073318481444,655500
2000-02-22,23.75,24.125,23.375,23.9375,9.900172233581545,422700
2000-02-23,23.9375,23.9375,23.0625,23.0625,9.538286209106444,430000
2000-02-24,23.1875,23.375,22.0625,22.625,9.357340812683104,794900
2000-02-25,23.125,23.25,22.5,22.6875,9.383190155029297,505000
2000-02-28,22.8125,23.625,22.6875,23.3125,9.641681671142578,509100
2000-02-29,23.0625,23.5,22.5625,23.5,9.719223976135254,574800
2000-03-01,23.4375,23.5,22.625,23.125,9.564135551452637,432100
2000-03-02,22.9375,23.0,22.375,23.0,9.512432098388672,549600
2000-03-03,22.5,23.5625,22.5,23.375,9.66753387451172,564500
2000-03-06,23.25,23.25,22.1875,22.625,9.357340812683104,471200
2000-03-07,22.75,22.75,22.0,22.0,9.09885025024414,491700
2000-03-08,21.75,22.3125,21.6875,22.125,9.150551795959473,455000
2000-03-09,22.125,22.9375,22.0,22.9375,9.48658561706543,519400
2000-03-10,22.9375,22.9375,22.3125,22.5625,9.331491470336914,470100
2000-03-13,22.0,22.875,22.0,22.875,9.460732460021973,460300
2000-03-14,22.625,22.625,21.6875,22.375,9.253949165344238,457300
2000-03-15,22.125,25.0,21.9375,24.8125,10.262055397033691,1193500
2000-03-16,24.75,27.3125,24.4375,27.3125,11.296014785766602,1192300
2000-03-17,27.5625,27.5625,25.8125,26.75,11.063374519348145,1020300
2000-03-20,26.5625,26.6875,25.0,26.125,10.804882049560549,1024800
2000-03-21,26.0,27.625,26.0,27.625,11.42525577545166,1026300
2000-03-22,27.5,27.875,27.125,27.75,11.47695541381836,441800
2000-03-23,27.5,28.625,27.1875,28.625,11.838849067687988,612000
2000-03-24,28.25,28.8125,27.625,28.375,11.735443115234377,661500
2000-03-27,27.875,27.9375,27.0,27.5,11.373559951782228,394400
2000-03-28,27.375,28.0,27.1875,27.5625,11.399410247802734,397600
2000-03-29,28.75,28.75,27.6875,28.1875,11.657896995544434,461700
2000-03-30,27.6875,27.9375,27.125,27.3125,11.296014785766602,393200
2000-03-31,26.75,28.0625,26.6875,28.0625,11.606202125549316,598600
2000-04-03,27.875,29.375,27.875,29.3125,12.123183250427246,561500
2000-04-04,29.625,30.0,28.5,29.6875,12.278279304504396,1073400
2000-04-05,29.375,29.625,28.8125,28.9375,11.968093872070312,341900
2000-04-06,29.5,29.5,28.125,28.75,11.890538215637209,293800
2000-04-07,28.375,28.5625,27.875,27.875,11.528653144836426,296300
2000-04-10,27.75,28.375,27.125,28.1875,11.657896995544434,389700
2000-04-11,28.4375,28.4375,27.75,28.0,11.58034896850586,333800
2000-04-12,28.0,29.875,28.0,28.6875,11.950050354003906,643200
2000-04-13,27.75,28.5,27.75,27.9375,11.637632369995115,371300
2000-04-14,27.375,27.4375,25.75,26.0625,10.856581687927246,679000
2000-04-17,25.9375,26.75,25.875,26.625,11.090898513793944,590600
2000-04-18,26.125,26.9375,26.0,26.875,11.195034980773926,427400
2000-04-19,27.125,27.125,25.8125,26.25,10.934685707092283,283400
2000-04-20,26.375,26.6875,25.75,26.4375,11.012794494628906,659400
2000-04-24,26.4375,27.4375,26.0625,26.9375,11.221074104309082,325100
2000-04-25,26.6875,28.375,26.6875,28.0625,11.689699172973633,530400
2000-04-26,28.375,28.375,27.1875,27.1875,11.325217247009276,524300
2000-04-27,26.6875,26.875,26.0,26.25,10.934685707092283,423600
2000-04-28,26.625,26.75,26.0,26.625,11.090898513793944,1025500
2000-05-01,26.75,27.4375,26.25,26.9375,11.221074104309082,560900
2000-05-02,27.0625,27.0625,26.375,26.875,11.195034980773926,609500
2000-05-03,26.8125,27.25,26.4375,26.5,11.038822174072266,665400
2000-05-04,26.375,26.375,25.875,26.0625,10.856581687927246,511200
2000-05-05,25.9375,26.1875,25.8125,25.9375,10.80451774597168,241900
2000-05-08,25.8125,27.0,25.8125,26.3125,10.960719108581545,337400
2000-05-09,26.25,26.9375,26.25,26.5625,11.064861297607422,344200
2000-05-10,26.5625,26.8125,26.125,26.3125,10.960719108581545,597300
2000-05-11,26.375,27.4375,26.375,27.125,11.299181938171388,597700
2000-05-12,26.6875,27.6875,26.625,27.4375,11.429350852966309,515000
2000-05-15,27.25,27.9375,27.125,27.8125,11.585556983947754,570500
2000-05-16,27.875,27.875,27.0625,27.25,11.351247787475586,380400
2000-05-17,27.0,27.125,26.625,27.0625,11.273138999938965,207600
2000-05-18,27.0,27.9375,27.0,27.625,11.507454872131348,518100
2000-05-19,27.4375,27.5,26.5,26.625,11.090898513793944,321700
2000-05-22,27.0625,27.4375,26.6875,27.4375,11.429350852966309,442500
2000-05-23,27.375,28.4375,27.375,28.125,11.715734481811523,492200
2000-05-24,28.375,29.1875,28.3125,28.875,12.028154373168944,451000
2000-05-25,29.1875,29.21875,27.875,28.0625,11.689699172973633,603800
2000-05-26,28.75,29.4375,28.375,28.75,11.976086616516112,416500
2000-05-30,28.5625,29.0,28.5625,28.9375,12.054187774658203,438000
2000-05-31,28.9375,29.3125,28.6875,29.3125,12.21039581298828,364700
2000-06-01,29.0625,30.4375,29.0,30.4375,12.679031372070312,917000
2000-06-02,30.9375,31.875,30.6875,31.75,13.225763320922852,943800
2000-06-05,31.125,31.1875,30.125,30.25,12.60092067718506,382000
2000-06-06,29.6875,29.875,28.875,29.4375,12.26247215270996,480000
2000-06-07,29.375,30.0,29.3125,29.625,12.340577125549316,320100
2000-06-08,29.5625,29.6875,28.5,29.0,12.080229759216309,313100
2000-06-09,29.3125,29.3125,28.25,28.3125,11.793838500976562,308200
2000-06-12,28.0625,28.875,28.0625,28.53125,11.884965896606444,301900
2000-06-13,28.4375,28.75,28.25,28.6875,11.950050354003906,224300
2000-06-14,28.5625,28.9375,28.5625,28.875,12.028154373168944,323300
2000-06-15,28.3125,28.5,26.5625,26.875,11.195034980773926,773000
2000-06-16,27.125,27.125,25.1875,25.53125,10.635284423828123,814100
2000-06-19,25.25,26.4375,25.25,26.0,10.830546379089355,692400
2000-06-20,25.875,26.25,25.8125,26.125,10.882613182067873,690000
2000-06-21,26.0,26.0625,25.25,25.5625,10.64830207824707,316300
2000-06-22,25.4375,26.0,25.25,26.0,10.830546379089355,542300
2000-06-23,26.0,26.3125,25.8125,25.9375,10.80451774597168,604400
2000-06-26,25.6875,26.125,25.5625,26.0,10.830546379089355,882800
2000-06-27,26.125,26.25,25.875,26.0,10.830546379089355,498200
2000-06-28,26.0,26.4375,25.8125,25.828125,10.758952140808104,485000
2000-06-29,25.5625,25.6875,24.875,25.0,10.413987159729004,781100
2000-06-30,24.875,24.875,23.875,23.875,9.945358276367188,886400
2000-07-03,24.0,25.4375,24.0,25.375,10.570197105407717,513400
2000-07-05,25.3125,26.1875,25.125,25.625,10.674334526062012,621400
2000-07-06,25.625,26.625,25.625,25.9375,10.80451774597168,3257600
2000-07-07,25.9375,26.9375,25.875,26.75,11.14296054840088,876700
2000-07-10,26.75,27.1875,26.625,26.875,11.195034980773926,803700
2000-07-11,27.125,27.625,27.0625,27.625,11.507454872131348,1021800
2000-07-12,27.5,27.75,26.75,26.875,11.28902816772461,1065200
2000-07-13,26.5625,26.625,26.0,26.3125,11.052745819091797,430100
2000-07-14,26.25,27.0,26.25,26.75,11.236516952514648,640000
2000-07-17,26.8125,26.875,25.75,26.0,10.921472549438477,714500
2000-07-18,25.9375,25.9375,25.1875,25.5,10.711451530456545,846000
2000-07-19,25.5625,25.8125,25.25,25.375,10.658943176269531,489400
2000-07-20,25.25,26.375,25.25,26.125,10.973981857299805,617600
2000-07-21,25.5,26.1875,25.3125,25.375,10.658943176269531,517000
2000-07-24,25.125,25.75,25.0,25.6875,10.790210723876951,492800
2000-07-25,25.875,26.0625,25.4375,25.625,10.763957023620604,271000
2000-07-26,25.0,25.4375,24.75,25.0,10.501419067382812,702100
2000-07-27,24.875,25.25,24.1875,24.875,10.4489107131958,818100
2000-07-28,24.5,24.625,23.875,24.0625,10.107616424560549,628300
2000-07-31,23.8125,24.9375,23.8125,24.9375,10.475168228149414,1058300
2000-08-01,25.0,25.0625,24.625,25.0,10.501419067382812,380800
2000-08-02,25.0,25.625,24.8125,25.5625,10.737699508666992,667600
2000-08-03,25.5625,26.5,25.4375,26.5,11.131503105163574,633900
2000-08-04,26.4375,27.3125,26.4375,27.125,11.39404582977295,714600
2000-08-07,27.125,27.125,26.4375,27.0,11.341535568237305,479500
2000-08-08,26.9375,27.0,26.4375,26.9375,11.315284729003906,378100
2000-08-09,26.875,26.9375,25.9375,26.9375,11.315284729003906,658800
2000-08-10,27.0,27.4375,26.875,27.125,11.39404582977295,668100
2000-08-11,27.4375,27.5,27.125,27.4375,11.525307655334473,350100
2000-08-14,27.375,27.375,26.75,27.3125,11.472803115844728,334800
2000-08-15,26.9375,27.125,26.6875,26.9375,11.315284729003906,297300
2000-08-16,26.8125,27.125,26.4375,26.5625,11.157759666442873,279300
2000-08-17,26.8125,26.9375,26.4375,26.8125,11.262774467468262,390100
2000-08-18,26.5625,26.5625,26.25,26.375,11.07899284362793,389600
2000-08-21,26.25,26.4375,26.0625,26.25,11.026494979858398,363200
2000-08-22,26.3125,26.875,26.25,26.8125,11.262774467468262,370500
2000-08-23,26.625,26.6875,26.25,26.375,11.07899284362793,439300
2000-08-24,26.1875,26.375,26.125,26.1875,11.000234603881836,380100
2000-08-25,26.3125,26.5625,26.1875,26.4375,11.105252265930176,383500
